Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-15 19:10:00+00:00,62849.69921875,63149.78515625,62849.69921875,63149.78515625,63149.78515625,0
2024-04-15 19:15:00+00:00,63095.68359375,63095.68359375,62810.52734375,62810.52734375,62810.52734375,102834176
2024-04-15 19:20:00+00:00,62705.24609375,63151.1328125,62705.24609375,63151.1328125,63151.1328125,107311104
2024-04-15 19:25:00+00:00,63160.58984375,63247.42578125,63133.46875,63133.46875,63133.46875,192176128
2024-04-15 19:30:00+00:00,63139.3046875,63449.9296875,63139.3046875,63397.13671875,63397.13671875,80596992
2024-04-15 19:35:00+00:00,63405.671875,63422.359375,63325.0703125,63325.0703125,63325.0703125,158646272
2024-04-15 19:40:00+00:00,63429.49609375,63429.49609375,63299.93359375,63390.015625,63390.015625,40538112
2024-04-15 19:45:00+00:00,63347.77734375,63585.625,63347.77734375,63585.625,63585.625,100945920
2024-04-15 19:50:00+00:00,63615.14453125,63615.14453125,63501.5859375,63501.5859375,63501.5859375,169193472
2024-04-15 19:55:00+00:00,63521.75390625,63599.6328125,63518.46484375,63519.015625,63519.015625,15462400
2024-04-15 20:00:00+00:00,63344.31640625,63511.8125,63344.31640625,63511.8125,63511.8125,45699072
2024-04-15 20:05:00+00:00,63533.48046875,63640.47265625,63533.48046875,63612.890625,63612.890625,55566336
2024-04-15 20:10:00+00:00,63583.6796875,63598.23828125,63490.61328125,63519.8515625,63519.8515625,0
2024-04-15 20:15:00+00:00,63500.6328125,63500.6328125,63351.1484375,63351.1484375,63351.1484375,0
2024-04-15 20:20:00+00:00,63396.40234375,63396.40234375,63051.875,63051.875,63051.875,6414336
2024-04-15 20:25:00+00:00,63058.83203125,63318.35546875,63058.83203125,63318.35546875,63318.35546875,87552000
2024-04-15 20:30:00+00:00,63346.33203125,63392.61328125,63271.6171875,63389.74609375,63389.74609375,68755456
2024-04-15 20:35:00+00:00,63382.3203125,63382.3203125,63190.65234375,63230.4453125,63230.4453125,12808192
2024-04-15 20:40:00+00:00,63286.02734375,63286.02734375,63217.0625,63259.72265625,63259.72265625,5439488
2024-04-15 20:45:00+00:00,63336.97265625,63336.97265625,63209.68359375,63228.39453125,63228.39453125,7278592
2024-04-15 20:50:00+00:00,63228.28515625,63228.28515625,63047.73828125,63156.74609375,63156.74609375,0
2024-04-15 20:55:00+00:00,63155.59375,63184.92578125,63123.74609375,63184.92578125,63184.92578125,19947520
2024-04-15 21:00:00+00:00,63165.6875,63338.20703125,63165.6875,63338.20703125,63338.20703125,0
2024-04-15 21:05:00+00:00,63284.71484375,63336.91015625,63278.30078125,63336.91015625,63336.91015625,0
2024-04-15 21:10:00+00:00,63422.4609375,63422.4609375,63320.1953125,63320.1953125,63320.1953125,13803520
2024-04-15 21:15:00+00:00,63321.78125,63321.78125,63206.9453125,63206.9453125,63206.9453125,0
2024-04-15 21:20:00+00:00,63213.73046875,63275.1328125,63040.29296875,63040.29296875,63040.29296875,0
2024-04-15 21:25:00+00:00,62894.390625,63031.75,62798.96875,63009.453125,63009.453125,0
2024-04-15 21:30:00+00:00,63067.359375,63067.359375,62810.94921875,62810.94921875,62810.94921875,61906944
2024-04-15 21:35:00+00:00,62865.36328125,62958.10546875,62764.2734375,62764.2734375,62764.2734375,120197120
2024-04-15 21:40:00+00:00,62814.19140625,63006.85546875,62793.171875,63006.85546875,63006.85546875,0
2024-04-15 21:45:00+00:00,62959.0859375,63024.8203125,62953.6796875,63011.1328125,63011.1328125,54771712
2024-04-15 21:50:00+00:00,63027.80859375,63088.20703125,63027.80859375,63050.55859375,63050.55859375,28274688
2024-04-15 21:55:00+00:00,63066.03515625,63354.0703125,63066.03515625,63290.19140625,63290.19140625,80674816
2024-04-15 22:00:00+00:00,63273.6015625,63273.6015625,63149.3828125,63149.3828125,63149.3828125,0
2024-04-15 22:05:00+00:00,63125.44140625,63141.59765625,63086.5703125,63087.703125,63087.703125,0
2024-04-15 22:10:00+00:00,63065.3984375,63110.50390625,62987.78125,62995.65625,62995.65625,0
2024-04-15 22:15:00+00:00,63013.796875,63013.796875,62855.08203125,62859.68359375,62859.68359375,0
2024-04-15 22:20:00+00:00,62850.63671875,62850.63671875,62799.30078125,62799.92578125,62799.92578125,0
2024-04-15 22:25:00+00:00,62843.08203125,63017.640625,62843.08203125,63017.640625,63017.640625,0
2024-04-15 22:30:00+00:00,63073.7265625,63330.9921875,63073.7265625,63330.9921875,63330.9921875,0
2024-04-15 22:35:00+00:00,63350.54296875,63350.54296875,63297.27734375,63322.078125,63322.078125,0
2024-04-15 22:40:00+00:00,63361.09765625,63524.26953125,63352.56640625,63442.04296875,63442.04296875,0
2024-04-15 22:45:00+00:00,63408.01171875,63408.01171875,63323.625,63323.625,63323.625,0
2024-04-15 22:50:00+00:00,63363.48828125,63363.48828125,63256.44140625,63266.96484375,63266.96484375,0
2024-04-15 22:55:00+00:00,63307.0,63465.90234375,63307.0,63465.90234375,63465.90234375,0
2024-04-15 23:00:00+00:00,63474.16015625,63474.16015625,63394.8515625,63432.89453125,63432.89453125,0
2024-04-15 23:05:00+00:00,63472.02734375,63482.13671875,63393.15625,63393.94921875,63393.94921875,0
2024-04-15 23:10:00+00:00,63404.31640625,63536.61328125,63404.31640625,63531.078125,63531.078125,0
2024-04-15 23:15:00+00:00,63553.453125,63553.453125,63395.6484375,63395.6484375,63395.6484375,0
2024-04-15 23:20:00+00:00,63398.484375,63445.91796875,63398.484375,63421.6953125,63421.6953125,0
2024-04-15 23:25:00+00:00,63365.08984375,63365.08984375,63241.59375,63253.1796875,63253.1796875,0
